"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	"Injury Intent"	"Injury Intent Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"California"	"06"	"1999"	"1999"	"Intentional self-harm by handgun discharge"	"X72"	"Suicide"	"2"	"15-19 years"	"15-19"	25	2403117	1.0
	"California"	"06"	"1999"	"1999"	"Intentional self-harm by handgun discharge"	"X72"	"Suicide"	"2"	"20-24 years"	"20-24"	45	2303169	2.0
	"California"	"06"	"1999"	"1999"	"Intentional self-harm by handgun discharge"	"X72"	"Suicide"	"2"	"25-34 years"	"25-34"	92	5278543	1.7
	"California"	"06"	"1999"	"1999"	"Intentional self-harm by handgun discharge"	"X72"	"Suicide"	"2"	"35-44 years"	"35-44"	124	5462186	2.3
	"California"	"06"	"1999"	"1999"	"Intentional self-harm by handgun discharge"	"X72"	"Suicide"	"2"	"45-54 years"	"45-54"	140	4189310	3.3
	"California"	"06"	"1999"	"1999"	"Intentional self-harm by handgun discharge"	"X72"	"Suicide"	"2"	"55-64 years"	"55-64"	73	2543047	2.9
	"California"	"06"	"1999"	"1999"	"Intentional self-harm by handgun discharge"	"X72"	"Suicide"	"2"	"65-74 years"	"65-74"	98	1888004	5.2
	"California"	"06"	"1999"	"1999"	"Intentional self-harm by handgun discharge"	"X72"	"Suicide"	"2"	"75-84 years"	"75-84"	100	1259639	7.9
	"California"	"06"	"1999"	"1999"	"Intentional self-harm by handgun discharge"	"X72"	"Suicide"	"2"	"85+ years"	"85+"	43	413264	10.4
	"California"	"06"	"1999"	"1999"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Suicide"	"2"	"15-19 years"	"15-19"	14	2403117	0.6 (Unreliable)
	"California"	"06"	"1999"	"1999"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Suicide"	"2"	"20-24 years"	"20-24"	28	2303169	1.2
	"California"	"06"	"1999"	"1999"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Suicide"	"2"	"25-34 years"	"25-34"	32	5278543	0.6
	"California"	"06"	"1999"	"1999"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Suicide"	"2"	"35-44 years"	"35-44"	54	5462186	1.0
	"California"	"06"	"1999"	"1999"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Suicide"	"2"	"45-54 years"	"45-54"	40	4189310	1.0
	"California"	"06"	"1999"	"1999"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Suicide"	"2"	"55-64 years"	"55-64"	40	2543047	1.6
	"California"	"06"	"1999"	"1999"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Suicide"	"2"	"65-74 years"	"65-74"	22	1888004	1.2
